epoch,train_loss,val_loss,val_dice
1,1.1528449968507057,0.9623394773813301,0.38191558432507
2,0.7399804773048191,0.6595912486618105,0.5773206961069417
3,0.520376527831053,0.5941981478350157,0.5978051025862124
4,0.44562040313870055,0.5751043957949594,0.5682534269773194
5,0.4162004104965713,0.4582276210643863,0.7211781827396412
6,0.38114259312973087,0.4202972144059097,0.7404229606076177
7,0.35446620709824894,0.41148712257582115,0.7500659357491535
8,0.3366271277636365,0.3990363990437742,0.7049255046149854
9,0.31993635331565723,0.37684332452354236,0.7754602434299427
10,0.3088125082033448,0.36660308108378303,0.7551925170778014
11,0.29261115459391546,0.3745659577539404,0.7920041929850647
12,0.2823452569326573,0.3887142889277474,0.7205736458149878
13,0.2724222746787751,0.3221056465125873,0.7926745532853645
14,0.26564208654689175,0.35426396841500857,0.7553077907745612
15,0.26327067486032973,0.36032103478870625,0.7983974782295278
16,0.25283673195478423,0.344154936060044,0.7629832526806354
17,0.24349325540886183,0.3647451274921648,0.7782754542235734
18,0.24007612860523722,0.3466539332600495,0.7568506464058813
19,0.23060294525671793,0.37538938718177284,0.731255158233228
20,0.2245236443239708,0.3085872273531958,0.8154291083644011
21,0.21757105770467614,0.3559279449748553,0.8070555837807951
22,0.21651804217834408,0.34160349700533554,0.7923159775626106
23,0.21101957661474866,0.4057279021239842,0.8000047802472392
24,0.2078172131116103,0.3296384008805109,0.8073812825171182
25,0.19542176638797323,0.3061474871421209,0.8198000371247127
26,0.196830420733549,0.3496104056352119,0.8160764214828014
27,0.19416488697243503,0.3181014922435654,0.8118311679014419
28,0.18290013015469042,0.29710071129160376,0.8059395663629809
29,0.18710402168778484,0.315084988853252,0.819954641733982
30,0.1814927656695796,0.3312699712301029,0.7793239950387469
31,0.17759369136564424,0.31315410200212596,0.8090130501087878
32,0.1739408958921022,0.32092192151960525,0.8122463850707347
33,0.17189177294324473,0.33233401946173674,0.7935343893031641
34,0.1763667078461531,0.3166052254708365,0.8138683680207978
35,0.16457831991062497,0.31799567468066253,0.8099149378750703
36,0.16231201040254387,0.32937206129327834,0.8159117831016426
37,0.16150579891336805,0.3199905821337879,0.8083717068517625
38,0.15593980430250245,0.33667697820992565,0.8003874278774256
39,0.15280382602748946,0.31732745857260003,0.82723328377543
40,0.14903928812361278,0.30908613019734243,0.828157257574921
41,0.14556902200291277,0.34367909857827894,0.8167037012557248
42,0.15001558822850677,0.3611982926944361,0.8294087640639407
43,0.14738773187714732,0.34803750860308114,0.8209763911331363
44,0.1412431594112171,0.30622210427076,0.83892836145142
45,0.1402574911289949,0.3151421078288828,0.8188519197661984
46,0.1404676516711939,0.3253739912574755,0.8311357732543408
47,0.14184459973377528,0.3043009757275193,0.829088632194757
48,0.13487957080819063,0.30678618279861586,0.8330932579604818
49,0.13544442522750158,0.356328989665851,0.8368095520961693
50,0.13061135450408828,0.3269020007738403,0.8199616658115745
51,0.13193092748210344,0.2973029568658682,0.8397249586749095
52,0.1279788384027069,0.31752363360148045,0.8241597244976595
53,0.12363583315755543,0.3064486203909527,0.8365255626513526
54,0.12340875797735804,0.36611939457650405,0.8095489772044789
55,0.12355107611241684,0.2983069331420742,0.8396855478619728
56,0.1178941646782537,0.42069407615042825,0.8047888030655891
57,0.12288317504413473,0.3513650345845911,0.8369923402365173
58,0.11846837689425545,0.3095103168845859,0.8309891262487449
59,0.11912205839101249,0.3314338978095592,0.8316200053097796
60,0.11703326373113725,0.3101055437589951,0.8395920301459265
