epoch,train_loss,val_loss,val_dice_at_0.5,val_iou_at_0.5,precision_at_0.5,recall_at_0.5,learning_rate,seconds
1,0.28906953424312076,0.3087205096284548,0.8255864131611652,0.7029775731592083,0.7530048697334387,0.9136526710091059,0.0001,1782.7648141384125
2,0.15796688298585698,0.19798164555899309,0.8836349921535605,0.7915287436840801,0.8788794406186924,0.8884422875446019,0.0001,1769.844217300415
3,0.13518482426893544,0.14794370342342705,0.9008667173563473,0.8196155385173747,0.8951045475663543,0.9067035549042582,0.0001,1773.668659210205
4,0.12646999356975866,0.18076561404662325,0.8892204149811934,0.8005372325654851,0.8468138231312238,0.9360981725850116,0.0001,1762.37815117836
5,0.12076235451609744,0.1622695614869881,0.9062512143732946,0.8285734588075663,0.893469879312676,0.9194035376271725,0.0001,1759.6922852993011
6,0.11368438684590913,0.13227446968764964,0.9089806858504336,0.8331481157682078,0.9098377019868866,0.9081252827169765,0.0001,1769.093700170517
7,0.11001348062902894,0.14683084592752166,0.9113960085511553,0.8372153838405095,0.9055663284647558,0.917301233342702,0.0001,1759.0275847911835
8,0.11083192653265544,0.13496018787980285,0.9096604139734124,0.8342909178308331,0.8894450154126415,0.9308160988084756,0.0001,1752.5529956817627
9,0.11065673692862132,0.12370871670995823,0.91133536927153,0.8371130498303397,0.9080310695194747,0.9146638053644399,0.0001,1758.1497647762299
10,0.10013073186216703,0.11587185162422846,0.91810626656191,0.8486103932262469,0.9109569826796109,0.9253686547253384,0.0001,1749.9759907722473
11,0.10434165707262906,0.12019231046218784,0.9159264010780862,0.8448931898986876,0.9072633266849855,0.9247565104964834,0.0001,1758.3099644184113
12,0.10584092763434917,0.12098568316405493,0.9160348159565087,0.8450777104661649,0.946938783073707,0.8870842410046466,0.0001,1759.5764973163605
13,0.10237450124309444,0.11640364437903548,0.9166571357733739,0.8461376043010674,0.9103756778047613,0.9230258782602191,0.0001,1761.4035034179688
14,0.09922438171015062,0.12433198493622927,0.9018042069670188,0.8211688777976731,0.8483279021835715,0.9624761069600436,5e-05,1753.417620897293
15,0.09039847914999351,0.1208935228304248,0.9181781648551659,0.8487332525805789,0.8990676881599601,0.9381187053642843,5e-05,1765.4390242099762
16,0.09353149755799554,0.10927312601772682,0.9224918958781237,0.8561345314705692,0.9292795622932901,0.9158026677245409,5e-05,1767.0674726963043
17,0.09304313688931752,0.11155129944532804,0.9235313690769533,0.85792687547713,0.9223721866257177,0.9246934687773923,5e-05,1762.3800103664398
18,0.0932798312273396,0.10649329565652528,0.9234823221003888,0.8578422268942124,0.9152723268025647,0.931840937885351,5e-05,1770.1825635433197
19,0.09308762076789914,0.12238449466492153,0.9210214316121509,0.8536049358128502,0.9029532209326661,0.9398275014108924,5e-05,1772.994636774063
20,0.09008339823733597,0.11587752450764591,0.9218259456385234,0.8549880623722236,0.9064738428872966,0.9377070155291768,5e-05,1762.2308413982391
21,0.09147199043213208,0.10454018869626511,0.9226460819538184,0.8564001731455794,0.9076475978211769,0.9381485816572449,2.5e-05,1770.758840560913
22,0.08483817810987385,0.10423412732642104,0.9257654327939471,0.8617907681017423,0.9262481398161256,0.9252832286277295,2.5e-05,1768.4614670276642
23,0.08636002020826351,0.10645393371548789,0.9260233057939231,0.8622378034734484,0.923560692271598,0.9284990872198544,2.5e-05,1766.2417681217194
24,0.08954947165530472,0.10309271937596191,0.9245424081612432,0.859673514955167,0.9187891836448091,0.9303681371436882,2.5e-05,1759.1353509426117
25,0.08436990352320566,0.10286164409976292,0.9260819501770425,0.8623394963234982,0.9304115554227514,0.9217924533214815,2.5e-05,1763.0683314800262
26,0.08537455450315742,0.10641839012422206,0.9274837650820748,0.8647736368793064,0.9335225950669443,0.9215225616719237,2.5e-05,1766.6367888450623
27,0.08533267284237943,0.10430484930516634,0.9268436358196308,0.8636613141902337,0.9282038232575767,0.9254874289786983,2.5e-05,1763.779884338379
28,0.0864415992626603,0.10089776953085373,0.926960844145252,0.8638648823647681,0.9456741385542828,0.9089737877100177,2.5e-05,1763.8275804519653
29,0.0839331943802121,0.10026758611311778,0.9280431148493662,0.8657466803983963,0.9361139637643136,0.920110244434664,2.5e-05,1765.2828574180603
30,0.08744600516575769,0.1067448096033527,0.9260737021591502,0.8623251930984833,0.9176340386735833,0.9346700492355741,2.5e-05,1761.3482439517975
31,0.08579079434349042,0.10424660665374479,0.9265698495268972,0.8631859735992339,0.9263016880287789,0.9268381663338314,2.5e-05,1758.2336823940277
32,0.08842810973999973,0.13015338326226403,0.9203474109723052,0.8524477413620103,0.9029593549683017,0.9384182905771822,2.5e-05,1763.2434027194977
33,0.08449460610305166,0.11157510685561083,0.9266512265768855,0.8633272329753705,0.9269100174668164,0.9263925801541111,1.25e-05,1749.501559495926
34,0.08019060245330205,0.10454576527467731,0.9267799767512865,0.8635507693435104,0.9192211837726164,0.93446411295321,1.25e-05,1742.7632665634155
35,0.08356853023828531,0.10231299954081338,0.9275406121784802,0.8648724816168448,0.9231140111825427,0.9320098714195529,1.25e-05,1734.0426361560822
36,0.0754797969198488,0.10138340185019136,0.9262535374028248,0.8626371025823034,0.9152582223694463,0.9375162458053188,1.25e-05,1733.0567116737366
