epoch,train_loss,val_loss,val_dice_at_0.5,val_iou_at_0.5,precision_at_0.5,recall_at_0.5,learning_rate,seconds
1,0.6383356492776614,0.6088711523035704,0.4484384944389667,0.2890239883057776,0.2899035009762272,0.9896122896655176,0.0002,1508.0079791545868
2,0.3826449160556217,0.4335792755201909,0.6092278499290863,0.43805007879832986,0.4529075210192548,0.9303297060294907,0.0002,1742.7087306976318
3,0.21743160138626794,0.3411679320222637,0.8508655131359589,0.7404403251859139,0.7692085193033833,0.9519184777278339,0.0002,1643.3506944179535
4,0.16598564729124277,0.31139398256373024,0.9031853748070218,0.8234621913872742,0.9197445829358973,0.8872118897660376,0.0002,1779.3053834438324
5,0.15037318638765015,0.29358957551062426,0.9072739226537253,0.8302848641235625,0.8940878640616439,0.920854740661924,0.0002,1827.8426623344421
6,0.13914372473508566,0.29239184153969294,0.9037514626641988,0.8244038024995448,0.9041420365087366,0.9033612261163475,0.0002,1916.210205078125
7,0.13366886216413962,0.19924269949431742,0.9151888231381331,0.84363882181375,0.9009149070127881,0.9299223270417231,0.0002,1833.6852130889893
8,0.1202297767588904,0.1554696511106688,0.9135628134309085,0.8408795508149801,0.9026663890954708,0.9247255218261102,0.0002,1824.8737354278564
9,0.1117928302963148,0.2681408788360404,0.8252145711698391,0.7024385482816032,0.725118825534938,0.9573704394351167,0.0002,1782.8570413589478
10,0.10498240710674347,0.1363372053592991,0.9167653967532734,0.8463221115772122,0.9293021981062914,0.9045623496581556,0.0002,1467.6324021816254
11,0.09616514141824874,0.14875440102328627,0.907126455086751,0.8300378935046484,0.8769485758239423,0.9394553402842178,0.0002,1441.8379848003387
12,0.09780099787763306,0.14757352474734492,0.9081223300222925,0.8317070263382463,0.8948234285285266,0.9218224926846701,0.0002,1538.451789855957
13,0.0949008908182323,0.1128625961632493,0.9205621177502801,0.8528162045153376,0.9098726560080784,0.9315057314674401,0.0002,1525.1360104084015
14,0.09306326636730076,0.11812517627857404,0.917931330279686,0.8483115313900981,0.8915044124770463,0.9459728594641843,0.0002,1574.383136510849
15,0.09051673694678418,0.118699728234865,0.912127808686913,0.8384512592292238,0.9060220421122086,0.9183164282702276,0.0002,1466.0166523456573
16,0.08978855101434471,0.10743979850331517,0.9247226852251194,0.8599853010185736,0.9453910656442926,0.904938685059957,0.0002,1477.5208189487457
17,0.0901154392453787,0.13345408802694883,0.9230325726988139,0.8570663785179432,0.9226364873619743,0.9234289982584234,0.0002,1488.5088284015656
18,0.0855164224566607,0.19232245543260346,0.9145274387540432,0.8425154825694582,0.8960161343725075,0.9338197494119944,0.0002,1540.5478105545044
19,0.0879874761578265,0.11160450154129907,0.9197548145809749,0.8514315333182471,0.8933411612454316,0.9477780167569059,0.0002,1478.6433992385864
20,0.08573892114071788,0.10356855666339157,0.9246800160447217,0.859911495965631,0.9069278288101827,0.9431410399519562,0.0002,1798.8208379745483
21,0.08463443877486201,0.12972424903708873,0.9175080935279349,0.8475888716047525,0.8924939041114898,0.9439648749994114,0.0001,1787.2242221832275
22,0.0806524534193384,0.10449968455969202,0.9271192216550291,0.8641400240996077,0.9189331146701596,0.9354524877235963,0.0001,1446.0935049057007
23,0.07797421540201574,0.11031147957017143,0.9274606783343301,0.8647334970376371,0.9219880297809478,0.9329986828714748,0.0001,1469.8649232387543
24,0.07557475588263034,0.09851500166289469,0.9298492329236334,0.8688955440026132,0.9284057304806366,0.9312972311254387,0.0001,1504.775943517685
25,0.07468857599253004,0.10596525022410336,0.9277238240374794,0.8651911185145144,0.9144310000137945,0.9414088169321115,0.0001,1443.7442889213562
26,0.07438209666112265,0.10637110406372131,0.9267464155582906,0.863492495150035,0.9112608142163746,0.9427674276717308,0.0001,1449.0028522014618
27,0.07702950856738633,0.11458762079111329,0.9261432033382805,0.8624457248092725,0.9169437261311414,0.9355291435959604,0.0001,1669.4369604587555
28,0.07397314426503131,0.10920907070613349,0.9187405464508088,0.8496948104685507,0.8832835374443311,0.9571632552685437,0.0001,1469.3448712825775
29,0.07303216618734164,0.10159670340167144,0.9303920671789809,0.8698440228702625,0.9367422160528597,0.9241274335573043,0.0001,1503.9605705738068
30,0.07480743549648788,0.10807634542317802,0.9263750928638167,0.8628479897461163,0.9117126706636471,0.9415168340879589,0.0001,1622.2356460094452
31,0.07361993768608772,0.10542886736943106,0.9285407222890547,0.8666131710322948,0.9195006756016124,0.9377602878738854,0.0001,1836.9616866111755
32,0.07249264495929221,0.0992739807094451,0.9313632397512545,0.8715433292173683,0.9311115508087522,0.931615064798716,0.0001,1840.856163263321
33,0.07318377576407406,0.10605904415978351,0.9272447264740293,0.864358115366171,0.9110427092632888,0.9440334522777666,0.0001,1456.679369688034
34,0.07053782461959121,0.10642982607996714,0.9271565542123045,0.8642048920115964,0.906752973105806,0.9484995078184635,0.0001,1456.5690717697144
35,0.0707966787526598,0.0987506702337764,0.9325900257607165,0.873694314525541,0.9351336896809508,0.9300601623788276,0.0001,1463.166247367859
36,0.07166463063451109,0.10344800740917898,0.9308652522059876,0.8706715913281073,0.9317551863702859,0.9299770164000408,0.0001,1466.2761025428772
37,0.0708641045150923,0.10927752796526537,0.9196751504761426,0.8512950071281616,0.889157253017991,0.9523623919300793,0.0001,1491.661004781723
38,0.07105515437660279,0.10206360068568465,0.9314078446317734,0.8716214506654496,0.9389075080654958,0.9240270411418696,0.0001,1527.903477191925
39,0.07214676959069816,0.10486540515332428,0.9293727133161694,0.868063727569298,0.9528180139536783,0.9070535066612277,0.0001,1459.2782616615295
40,0.06898782394926894,0.09557651449841852,0.9326641899735347,0.8738245088491958,0.9373709793580682,0.9280044325157557,5e-05,1578.0760462284088
41,0.06560111299927507,0.0954953783474162,0.9324989182984648,0.8735344013067556,0.9329379544427931,0.9320602951763898,5e-05,1477.399171590805
42,0.06608736545003795,0.09666468822389408,0.9311262568830254,0.8711283843194991,0.9188308893643342,0.9437551492527008,5e-05,1459.4329771995544
43,0.06452443690823538,0.09523319910399639,0.9316391634161394,0.8720266894049618,0.9189094838004027,0.9447264867188552,5e-05,1458.6480658054352
44,0.06404721135967649,0.09628004134132584,0.9325404127616641,0.8736072296416145,0.9237445904814162,0.9415053515919802,5e-05,1463.3294909000397
45,0.06383489467925602,0.09280941060782356,0.9333300045221352,0.8749941485923266,0.9292784093659655,0.9374170837845919,5e-05,1462.674447774887
46,0.06349486604306873,0.0968205098844861,0.9328743894688466,0.8741936096955967,0.9284719034334644,0.9373188244810584,5e-05,1518.7848665714264
