epoch,train_loss,val_loss,val_dice,val_iou,precision,recall,learning_rate
1,1.1730863726881287,0.8825113756662714,0.5756286999184614,0.4041282633857545,0.42675654096372156,0.8840126641182667,0.0001
2,0.6941824316542969,0.5315684508200517,0.6287172606502853,0.4584884229990627,0.48977190447626007,0.877721630862649,0.0001
3,0.4494260909246444,0.4626797603741857,0.6949007935168154,0.5324505524674602,0.6238005914533286,0.7842938675611745,0.0001
4,0.37209331676401813,0.36217076999654296,0.7646509253671685,0.6189755924611323,0.6926541610055629,0.853351056534803,0.0001
5,0.3363918693004865,0.3267163019485146,0.7094681655011312,0.5497486745661161,0.5899534272043118,0.8897082353105616,0.0001
6,0.3046029439193624,0.32155013219014983,0.823737916646035,0.700301342960277,0.7988958868922037,0.8501744774174704,0.0001
7,0.2939997896400613,0.30857038216395233,0.8151866002535623,0.6880295246728477,0.7710317883368796,0.8647058616674972,0.0001
8,0.27119549348230887,0.34326257039591407,0.8237781946598756,0.700359567319589,0.8263290983972946,0.8212429918920079,0.0001
9,0.25784405025037,0.31864729481002757,0.8197328495871452,0.6945316145589618,0.8027729834685325,0.8374247906797484,0.0001
10,0.2477494566032741,0.338807267305126,0.8330028449711327,0.7138002362572402,0.8380743567108927,0.8279923433892777,0.0001
11,0.23522778481169304,0.26119559683834626,0.8236956704578313,0.7002402777675937,0.7584996763906557,0.901153297488287,0.0001
12,0.22371381466315995,0.3603719329276613,0.8310107067271817,0.7108796560493736,0.8694914364239986,0.7957916773626194,0.0001
13,0.21879224205363584,0.26724246248564953,0.8414283741610737,0.7262635778360205,0.7956307692949675,0.8928203451100148,0.0001
14,0.21007761456488883,0.3020545853297143,0.8274687848304391,0.7057115189131898,0.7978693070512901,0.8593490474364234,0.0001
15,0.2027155336293154,0.2466965917469436,0.8457551845262973,0.7327346618223265,0.7967710208552092,0.9011568139965349,0.0001
16,0.19714977427857916,0.27381645885246403,0.8593371082180917,0.7533664103648201,0.8408066668908958,0.8787027366638325,0.0001
17,0.1872035410738014,0.28686091340793907,0.8549499395796866,0.7466485257997018,0.8511798398995188,0.8587535853731005,0.0001
18,0.17953993701239931,0.25423563031939456,0.852946058745001,0.7435971649352315,0.82022319911508,0.8883883725481571,0.0001
19,0.17659525837029746,0.2538867519632854,0.8020471096357985,0.669514733080998,0.7099365326740061,0.9216228919997185,0.0001
20,0.1706927313387697,0.2581133130160528,0.8085832998341044,0.6786738004608424,0.7281990312140695,0.9089165755303881,0.0001
21,0.17437137690818902,0.2555947605966005,0.8405825611970767,0.7250042418414565,0.7873399606292362,0.9015483185814755,5e-05
22,0.14106530450838303,0.257424006992169,0.8574237910570388,0.7504302858277371,0.8234010569151302,0.8943793304332813,5e-05
23,0.13846057861584227,0.2697880502752296,0.8650916296839946,0.762256806197594,0.8455791328173198,0.8855259348343096,5e-05
24,0.13207764367855793,0.2636470671212324,0.8512884683063694,0.7410811546840238,0.8131881736323173,0.8931344865135001,5e-05
25,0.12936177909648783,0.24925341290296185,0.8570068889743094,0.7497918235091154,0.8159509072408835,0.9024133796104761,5e-05
26,0.12265048993531297,0.25250295315497095,0.8711056832254902,0.7716450249430111,0.8526063430384885,0.8904256029931474,5e-05
27,0.11923677729279408,0.2514075147078086,0.8697503789631437,0.7695206110003039,0.8445364371865189,0.8965161952786309,5e-05
28,0.1170560882617323,0.26398873379875837,0.8574262981517891,0.7504341267130762,0.8194157354261465,0.8991348217539523,5e-05
29,0.11681547309029398,0.2654975866022077,0.8742183276330615,0.7765434001026423,0.8626330239424996,0.8861190525588005,5e-05
30,0.11447812789835726,0.24592891896176733,0.8614256138418067,0.7565826390565933,0.8175047789875265,0.9103337283543198,5e-05
31,0.11052515323532998,0.26429361562332276,0.8690231611340697,0.7683828096828839,0.8474438065192182,0.8917302275531442,5e-05
32,0.11071528283005824,0.2984301012919377,0.8727731835850596,0.7742658095740205,0.8724526967036013,0.8730939060083208,5e-05
33,0.10716327537428659,0.26088371639715807,0.8663388396005721,0.7641955725953697,0.8359301603216422,0.8990433925395052,5e-05
34,0.10701427589202586,0.25395355463198577,0.8681361016886838,0.7669969004081666,0.8448094377689511,0.8927875243663671,2.5e-05
35,0.09913969025716393,0.23815154937823463,0.872539852444674,0.7738986201300363,0.8408037850239346,0.9067656446520466,2.5e-05
36,0.0952824928858134,0.2653043295135935,0.8794629927710058,0.7848584982890063,0.8659381884158249,0.8934169793427537,2.5e-05
37,0.0946020637703953,0.25224891560431806,0.8778092568361049,0.7822282104744661,0.8613734036322703,0.894884535451573,2.5e-05
38,0.09036245683309879,0.26378364711241564,0.8820809214910275,0.7890382572837965,0.8760402142973394,0.8882055141192626,2.5e-05
