epoch,train_loss,val_loss,val_dice
1,1.1560343709955374,0.9937257574108114,0.29979725366899074
2,0.7429191255717145,0.6688095368350129,0.5873293008944702
3,0.5250537248311761,0.5401886097954126,0.6391747656831536
4,0.4506863924086548,0.5698852210895706,0.5875165464405838
5,0.41703598139738945,0.43808294536958214,0.7056285199411876
6,0.37603921171282495,0.4379085138933046,0.7500458777485064
7,0.3580341607786649,0.4447565890526347,0.7333157969132309
8,0.34001947336817184,0.37879654629577814,0.7399679139978075
9,0.32147075726474333,0.39205229183796403,0.7491182109205355
10,0.305389700100072,0.3613193145652157,0.7634101815664882
11,0.2981437889378627,0.3665778297438042,0.795432115369356
12,0.2785283939905815,0.45423263860226587,0.6852899205138665
13,0.2653073665829141,0.35019109951706634,0.794013667569683
14,0.26561988787690066,0.3856482368066869,0.745462391533662
15,0.26107612094372096,0.4040719222552297,0.7805116854456393
16,0.24800883568444654,0.3397673822598148,0.7871234471276971
17,0.2375709697914226,0.38313311658818605,0.7974388014186367
18,0.23901318737425223,0.3633573265893162,0.7864189009246139
19,0.23025328283502308,0.3661091828638209,0.7496321878512093
20,0.2237600321695682,0.34497197334472157,0.8121239561361052
21,0.22250188360277096,0.37571968370456127,0.7891204670353269
22,0.21248249361928187,0.36419859611957733,0.7831962485945015
23,0.20638818328838032,0.3784773864193272,0.7926034084606376
24,0.20414159996281206,0.32821142001897474,0.8031315678024413
25,0.20081188705343908,0.3081024419089765,0.8074722327386756
26,0.18901494126104226,0.32376931317188506,0.8137917018308287
27,0.19007919222622957,0.3120302187406835,0.8144488321379083
28,0.18438722577485642,0.3774875085943073,0.7583722849269859
29,0.18716621435018968,0.3301121267198606,0.8117079706367305
30,0.18152019310756817,0.31948061970372993,0.8218137525592356
31,0.17534496126935512,0.33113948943012844,0.8091261015310723
32,0.17084471743052124,0.318011953398282,0.8303205595984486
33,0.16805005123486133,0.3254510892872668,0.8055060992724553
34,0.17299156674577973,0.31659408286213875,0.813164757531487
35,0.16894554374727694,0.33062078818470314,0.8037132678843663
36,0.1618063854221657,0.32528633499191006,0.8303977604075259
37,0.15547292003954796,0.30373954748303533,0.8181313788562528
38,0.15682585334720084,0.34475729882755046,0.8128106544825298
39,0.15339020334581788,0.3284661876791306,0.8302622835334541
40,0.1496070055705241,0.3107679035732613,0.8161678796893953
41,0.1459234718971778,0.33012051778459217,0.8220175419452437
42,0.14401456301385748,0.35658819164426725,0.8331891762719926
43,0.14005104555444273,0.3511381962836623,0.8230963502782298
44,0.14059340908740003,0.31662112018970284,0.8313116674973128
45,0.13766446662415885,0.3197854985897702,0.809658861835191
46,0.13449763375532067,0.350592887175978,0.8248802299531883
47,0.13376369821369233,0.3641655595153191,0.825271409152581
48,0.13741020866689832,0.3220560663728086,0.8311641477931938
49,0.12477747187150934,0.3385415464905079,0.8313686551210506
50,0.1280686578155984,0.31327082338072265,0.8175844454962485
51,0.12973605592296075,0.36389644362468454,0.8238410062865229
52,0.12563675285460194,0.3294517869892845,0.8210322563638935
53,0.12314720727323425,0.34074986001367635,0.8370030457540051
54,0.11842841279646796,0.3637629008494109,0.8260738471064638
55,0.12207666426078148,0.33472880879393363,0.8177573918234604
56,0.1195088356278903,0.3908774605632283,0.8337581406694626
57,0.11672013618402287,0.3525965273683611,0.8285807617975556
58,0.11521253047754758,0.32280292753935924,0.8418557778398954
59,0.11288011255360468,0.3282978693426186,0.8397009106548218
60,0.11235334473428953,0.36713512730014536,0.8353674012923736
61,0.1116951373092158,0.34741244976984637,0.8372017341584396
62,0.1155499405318722,0.35149456274816554,0.8308533461979047
63,0.10749461352493818,0.33992510200798054,0.836055058511993
64,0.108726013681391,0.3257277479428447,0.8393812135034067
65,0.10763742642777734,0.3605192172134878,0.8337091174727088
66,0.10712524174015585,0.33168409359534734,0.8261212624050203
67,0.10039273605905616,0.33134172456315303,0.8362216511179831
68,0.11238920481300414,0.33052910642068045,0.8390326987840614
69,0.10343687121284205,0.31230446570683223,0.8389119047567286
70,0.10008685743812533,0.3574838171459488,0.8387825292952411
71,0.10381455023404983,0.34271548567553056,0.8441833844263061
72,0.09977703100352002,0.37978439006489956,0.835474911560577
73,0.09838506150896054,0.3210122152717438,0.8382091447161588
74,0.10058169052705376,0.31820172105581707,0.8287969766677601
75,0.10152737772047254,0.36747943494307783,0.7842963313442151
76,0.10091655934407001,0.3657407391171798,0.830586472998433
77,0.10213542191768503,0.3451368143123221,0.8473125590805557
78,0.09268816179812447,0.34831198373615135,0.8250030710289372
79,0.0935632189596131,0.3304986406032366,0.8411778463189374
80,0.09504317627507328,0.3174577247702135,0.8344133031926575
